Time,Token,Action,Address,Amount
2023-08-11 09:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,35802.873741
2023-08-11 09:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,36064.17
2023-08-17 07:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,22925.0
2023-08-17 07:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2023-08-17 08:00,USDC,FROM,0x3b47469b17206008a3e23c2a49539ea32f3435ab,341.47
2023-08-17 09:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2023-08-20 08:00,USDC,FROM,0xe135ff5b6eaa5f7db2a53ef85aa18de3b969b7ee,2000.0
2023-08-22 08:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2626.55
2023-08-23 07:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,33872.9
2023-08-23 07:00,USDC,FROM,0x302f1ec46029a00457b1929c1aa5610471e9c682,2634.54
2023-08-23 08:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,33875.75426
2023-08-23 09:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,33872.9
2023-08-29 07:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,1309.0
2023-08-30 03:00,USDC,FROM,0x135f3db9b0b4631a371157949f9e4ff590c0ca4f,2500.0
2023-08-31 08:00,USDC,FROM,0x9f2301960df3d3c97d891362d716f42e93d35d1e,1170.0
2023-09-04 09:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,616.25
2023-09-04 09:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,198.01
2023-09-05 11:00,USDC,FROM,0x7597bb5729f75826af781ee1b9c29764ff9f2778,3000.0
2023-09-05 11:00,USDC,FROM,0xe135ff5b6eaa5f7db2a53ef85aa18de3b969b7ee,2111.58
2023-09-08 12:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,35613.96
2023-09-08 14:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,35624.256616
2023-09-08 14:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,35613.96
2023-09-08 15:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,2843.0
2023-09-12 07:00,USDC,FROM,0x7597bb5729f75826af781ee1b9c29764ff9f2778,5000.0
2023-09-12 07:00,USDC,FROM,0x3c376bedfa5cc1df4082960266f2ea788677d54c,5000.0
2023-09-12 08:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2023-09-12 08:00,USDC,FROM,0xda9cacdfac4534c40b6871c43310514abdda606b,5000.0
2023-09-12 08:00,USDC,FROM,0xbc4ba1889f79b82ad673776f27cea1c478e761fd,5000.0
2023-09-13 08:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,10000.0
2023-09-15 13:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,22394.92
2023-09-15 13:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,10000.0
2023-09-15 13:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2023-09-16 07:00,USDC,FROM,0xac7cedfcc01ccae1004c3b42120705ced2252615,9032.26
2023-09-16 07:00,USDC,FROM,0x21516572cf3c12054f9e612788b20bea1a6bfa0a,6000.0
2023-09-20 07:00,USDC,FROM,0x3b47469b17206008a3e23c2a49539ea32f3435ab,569.0
2023-09-22 04:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,25000.0
2023-09-22 04:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,31324.303451
2023-09-22 06:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,2987.0
2023-09-22 06:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,3000.0
2023-09-22 11:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,4580.838006
2023-09-22 12:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,36016.43
2023-09-26 12:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2023-09-26 16:00,USDC,FROM,0x302f1ec46029a00457b1929c1aa5610471e9c682,2570.75
2023-09-28 07:00,USDC,FROM,0x3c376bedfa5cc1df4082960266f2ea788677d54c,60000.0
2023-09-28 09:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,2000.0
2023-10-15 12:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,34433.22
